Pathways	AnalysisName	 -log(p-value)	Ratio	z-score	Molecules													
Actin Cytoskeleton Signaling	cCTB	1.66	0.05	0	ARHGAP24	FN1	ITGA2	TRIO	TIAM1	PXN	DIAPH3	SSH2	PIK3CB	ITGA5	VAV2			
Acute Phase Response Signaling	iCTB	7.56	0.08	3.162	JUN	MAP3K5	IL1B	CP	FGA	RBP4	FGG	PIK3CG	TNFRSF11B	APCS	FGB	C4BPA	VWF	C1S
Adipogenesis pathway	cCTB	1.31	0.06	0	BMPR2	TGFB1	CDK7	CCRN4L	DLK1	LEP	PPARG							
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	iCTB	4.28	0.09	0	TLR4	IL15	TNFSF13B	TLR7	IL1B	FCER1G	CCL21							
Antioxidant Action of Vitamin C	cCTB	1.45	0.07	-2	SLC2A3	PLA2G16	PLA2G10	PLCL2	SLC2A1	HMOX1								
Antiproliferative Role of TOB in T Cell Signaling	cCTB	2.34	0.15	0	TGFB1	CCNE1	SKP2	TGFB2										
Aryl Hydrocarbon Receptor Signaling	iCTB	1.55	0.04	0	JUN	IL1B	ALDH1A1	GSTA1	CYP1B1									
Atherosclerosis Signaling	iCTB	3.16	0.06	0	PDGFD	IL1B	APOD	CCL2	F3	RBP4	MMP1							
Axonal Guidance Signaling	iCTB	1.7	0.03	0	PROK1	ABLIM3	FYN	PDGFD	ADAMTS5	WNT5A	SEMA3A	MYL9	PRKACB	PLCL1	PIK3CG			
Bladder Cancer Signaling	iCTB	1.63	0.05	0	PROK1	FGF2	THBS1	MMP1										
Caveolar-mediated Endocytosis Signaling	cCTB	1.44	0.07	0	FLNB	ITGB6	ITGA2	ITGA5	ITGB4									
CCR3 Signaling in Eosinophils	sCTB	2.52	0.04	0	PLCB1	GNG11	MYLK	PLA2G2A										
CCR5 Signaling in Macrophages	iCTB	2.09	0.06	0	JUN	CD3D	FCER1G	CCL4										
CD28 Signaling in T Helper Cells	iCTB	3.35	0.07	2.236	JUN	LCP2	FYN	CD3D	PTPRC	FCER1G	PIK3CG							
Cdc42 Signaling	cCTB	1.41	0.06	2.449	FOS	ITGA2	FNBP1L	HLA-G	DIAPH3	ITGA5	VAV2							
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	cCTB	2.03	0.1	-0.447	SFN	CDK7	SKP2	WEE1	CCNB1									
Cellular Effects of Sildenafil (Viagra)	sCTB	3.28	0.04	0	PLCB1	GUCY1A2	GUCY1B3	MYLK	PDE5A									
Chemokine Signaling	iCTB	2.75	0.07	2.236	JUN	CCL2	CCL13	CCL4	PIK3CG									
Clathrin-mediated Endocytosis Signaling	iCTB	2.11	0.04	0	PROK1	PDGFD	APOD	ITGB8	FGF2	RBP4	PIK3CG							
Coagulation System	iCTB	4.11	0.14	1.342	FGB	FGA	F3	VWF	FGG									
Colorectal Cancer Metastasis Signaling	cCTB	1.36	0.05	2.828	FOS	NOS2	TGFB1	MMP2	TLR3	MMP12	TGFB2	JAK1	TCF7L2	PIK3CB	ADRBK2			
Colorectal Cancer Metastasis Signaling	iCTB	2.02	0.03	2.828	TLR4	JUN	PROK1	TLR7	WNT5A	PRKACB	MMP1	PIK3CG						
Communication between Innate and Adaptive Immune Cells	iCTB	4.35	0.09	0	TLR4	IL15	TNFSF13B	TLR7	IL1B	FCER1G	CCL4							
