# Gene Symbol	aCTB	iCTB
MIR4461 	10.815435	10.69034
MIR1282 	10.01635	10.30209
MIR1244-1 	9.841201	9.676388
MIR1244-1 	9.841201	9.676388
MIR4442 	8.7191525	8.1452255
MIR3689F 	8.6825965	8.3804665
MIR21 	8.0789405	8.8357715
MIR181A2HG 	7.9874435	6.9133625
MIR644A 	7.89544	6.2532625
MIR3907 	7.775111	7.654516
MIR421 	7.6112495	7.491231
MIR3661 	7.5409	7.3474645
MIR1910 	7.536683	7.2291885
MIR1184-1 	7.532568	7.481101
MIR1184-1 	7.532568	7.481101
MIR1184-1 	7.532568	7.481101
MIR4451 	7.387416	6.0300115
MIR4525 	7.233389	6.9997535
MIR574 	7.089458	6.7277085
MIR1323 	7.059361	2.1660555
MIR3650 	7.0300085	5.778284
MIR1238 	6.9830965	6.9298215
MIR4732 	6.9311865	6.842236
MIR339 	6.7600725	5.972957
MIR4256 	6.5550015	6.0809205
MIR3619 	6.518602	6.48147
MIR1299 	6.455917	6.133938
MIR4533 	6.362965	6.2606295
MIR4737 	6.344332	6.5197345
MIR548H2 	6.2720485	5.3878545
MIR486 	6.2503405	6.1470015
MIR663B 	6.217735	5.9422555
MIR647 	6.212605	5.951442
MIR3143 	6.1490615	5.570199
MIR498 	6.1302595	2.9643565
MIR548H1 	6.1028565	4.6730445
MIR324 	6.078694	5.2067345
MIR3689A 	6.065849	5.932794
MIR1302-11  6.063114	5.481828
MIR4742 	6.0320215	4.929785
MIR1538 	5.96867	5.9398715
MIR92B 	5.9610285	5.7233785
MIR3180-2  5.944786	5.672669
MIR622 	5.9411255	4.839957
MIR1280 	5.939878	5.433598
MIR185 	5.900051	5.9292605
MIR1254-1 	5.8959905	4.8863105
MIR515-1 	5.881727	1.8693485
MIR515-1 	5.881727	1.8693485
MIR4677 	5.869323	5.770588
MIR4519 	5.8325715	5.927831
MIR4669 	5.830103	5.283693
MIR1976 	5.802676	5.8647395
MIR3155A 	5.6813415	5.350363
MIR593 	5.6276635	5.4218985
MIR3622B 	5.625064	5.5875145
MIR2909 	5.616123	4.7707395
MIR4689 	5.591496	6.196694
MIR449B 	5.55318	5.593396
MIR4454 	5.547635	5.8370525
MIR1227 	5.542657	5.026065
MIR424 	5.5388805	4.2575835
MIR503 	5.5362185	3.3201755
MIR346 	5.5285185	5.7947365
MIR320C1 	5.505087	4.9291475
MIR943  5.503397	5.434343
MIR433 	5.4934455	5.795598
MIR1202 	5.482944	5.319604
MIR103B2 	5.4545175	4.919642
MIR1250 	5.436396	5.350265
MIR571 	5.4180955	5.229751
MIR4756 	5.408187	5.2842895
MIR181B1 	5.3493585	4.6375005
MIR661 	5.286174	5.330907
MIR1290 	5.2463305	4.556308
MIR941-1 	5.238035	4.8927625
MIR3689D1 	5.20682	5.1509035
MIR548T 	5.1860525	5.2428765
MIR3935 	5.165049	5.2335695
MIR4522 	5.153581	5.3305735
MIR3178 	5.1236585	5.3537415
MIR375 	4.988766	4.7647725
MIR3676 	4.858561	5.3058565
MIR22HG 	4.7617715	4.945454
MIR4273 	4.543426	7.2867315
