# cCTB	iCTB	sCTB
16879094	16865955	16850047
17114520	17115782	17055447
16804506	16865018	17068158
16906872	16889268	17070771
17000641	16999041	17017979
16865563	16874198	17027144
16780423	16938133	17029788
17090296	17056815	17032476
16667760	17021504	17034791
17013851	16943789	17037271
16688339	16778274	17039977
16904193	17069816	16657594
17083197	16979225	16819252
16937741	17021217	16848739
17083433	17111895	16683105
16970465	16970118	16778559
16947148	17048563	17042487
16977378	17056830	16908037
16743593	16875909	16824109
16970853	17021489	17011790
17062491	16833426	16968122
17095043	17117651	17032870
16882285	16809228	16674521
16944574	16919962	16756286
17009760	16970971	16912370
16760868	16877172	17027330
16716350	16874187	17037658
16852858	16676988	16952874
16976029	16762661	17006122
16838418	17023118	17012011
16880814	17092268	16819264
16855382	16939479	17030176
16767422	16909081	17035037
16775156	16997853	16754895
16769250	16864756	16904700
17104521	16859795	16946707
17012198	16967875	17040375
16720760	16677698	17059491
17049149	16762759	16951756
16742814	17015647	16801850
16901974	16833433	16914469
17048676	17109808	16890519
16698801	16851866	17009615
16859105	16925859	16856232
16686557	17021510	17045838
16764811	17103704	16819856
16844804	17000235	17053436
17068296	16666509	17022754
16960355	16978976	16784098
16729755	16660587	16836311
16884372	16843567	16881353
16696979	16978354	16738465
16873332	16971526	16911517
16971737	16833420	16730429
17074773	17011279	16825154
17069728	16983765	16738400
16763032	16984783	16972396
17077004	16691090	16819257
16897834	16892075	17077680
16718126	16661149	16977502
16817328	16850958	16800962
16987786	16909257	16743574
16834436	16712373	17107585
16788296	16760691	16942958
16705381	16745016	16930066
16889779	16874890	17115014
16903356	17059776	16947759
17113596	17118329	16819064
16899601	17032495	16754373
17050154	16911493	16770664
16891403	17035371	17024285
16825997	16696177	16771797
17015240	16761326	17002194
17097308	16781995	16890347
17110352	17024079	16900875
16917859	16848123	16840945
16688799	17094761	16737282
16677071	16804062	16967863
17023551	16968529	16828550
16700888	16747678	16867432
17011593	17027163	17072110
16724633	16917061	16883624
16798232	16957675	17077525
17053401	16996234	16864584
16761012	16846195	17022097
17055216	16890675	16928428
16940154	16972446	16904551
16940055	17072144	16763650
16821330	16673075	17070769
17080897	17095056	16979502
16709072	16854466	16918023
16733377	16693459	16761830
16730591	16996545	17011091
17071144	16877097	16967853
16665621	17059696	17099076
16749316	17075789	16843078
16778652	17110289	17083370
16949584	16911108	17105249
16674742	16788475	16764564
16985094	16922940	16879796
16872194	17029807	16987970
16932706	16981542	16697662
16936947	17034810	17001901
16984492	17039996	16709333
16847933	17077821	16738897
16909165	16743816	16699739
16878994	16795965	17050522
17096285	16687914	17053455
16871915	17040387	16904425
16780069	16731461	16659140
16812738	16675578	17107559
16975777	17104578	16834867
16860221	16977970	16674355
16900635	16971910	16852025
16723614	16848219	16680258
16685958	16916605	17002820
16775136	16715170	17010544
16745997	16867784	16849576
16671642	16754471	16957884
16959701	17101517	17005276
17098027	16685295	16888554
16686000	16803006	16905292
17076063	16749939	16682771
16860123	17110315	16793176
16997953	16844509	16929615
16870821	16836333	16952534
16906285	16879174	16969229
16870362	16729789	16757324
16938007	17018039	16764724
16762154	17032533	16689020
16761617	17118399	17096436
16975506	17079448	17015143
16702351	16695437	16922114
17059551	17027187	17059119
17104122	17034851	16941024
16749747	17037331	16970227
16783500	16904410	16970536
16971712	16794472	16986351
17051152	17011721	17109680
17002278	17025267	16781536
16846532	16743577	16826738
17065372	17049312	16958124
17074427	16913341	17063845
16939796	17042548	16934709
16705507	16904827	17083052
16997721	16862439	16677863
16798067	16755173	17063194
17053384	16689969	16897343
17050959	16696187	16929442
17022980	16944798	16689352
16883905	16726533	16865116
16915712	16950877	16806564
16827123	16671874	17069550
16755652	17114288	16785606
16979133	16813038	16961616
16674130	16700263	16988194
17061716	16853462	16981606
17053379	16987008	16988931
17112364	17012313	16947107
17108067	16782001	16914791
16725184	16914867	16839836
17061881	16863753	16960539
16886130	17085951	16986777
16889636	16669169	16848070
17013554	16967286	17020846
17069677	16860971	16795176
17075112	16837938	16743751
16705831	16689400	16942103
16906991	16943336	16919466
16658736	16834091	16975310
17115996	16949537	17114241
16979845	16714699	16723353
16810322	16799690	16761843
16773919	16738819	16924268
16702967	17056825	16845169
16707493	16931957	16707208
16702685	16971019	16724861
16754729	16685036	16788570
17094120	16672362	16985067
16777715	16909482	16777460
17076609	17114220	17023758
16880620	16922147	16726081
17055715	16998162	16711280
16994002	16669374	16768341
16670469	17002681	17092153
16771801	17101292	16708192
16937024	17079544	17106493
16779232	17017998	16782187
16859314	17022691	17101828
17061972	16740997	16793559
16811994	17040037	16892555
16766822	16744138	16789149
16919158	17004710	16695135
16911338	16895673	17115692
16840599	17001654	16777794
16915868	16956244	16809659
17106003	16805594	16677556
17015207	16737105	17086048
16721835	17074029	16987468
17070949	16702399	16799077
17042844	16862101	16960775
16887810	17010789	17056740
16669796	16773946	16785379
16821256	17077723	17059771
17014257	16701110	16865341
16847760	16730996	16808268
16823825	17112623	16980601
16667258	16791436	16851230
17053371	16929855	16687352
16918918	16992122	16952349
16711464	16977052	16849274
16987844	16745002	17001800
16821377	16800680	16991010
17007824	16904775	16730393
16855026	16759087	16883647
16985950	16930166	16788488
