# cCTB	M		iCTB	M		sCTB	M
16879094	2.318892875		16865955	-3.15205475		16850047	-5.26790525
17114520	-2.506901375		17115782	3.53352275		17055447	4.361663125
16804506	2.445474875		16865018	-5.29512275		17068158	-4.911289
16906872	-1.6134925		16889268	3.635962625		17070771	3.362073
17000641	-3.23124825		16999041	-3.621422875		17017979	-2.6741195
16865563	2.59621825		16874198	-6.65544775		17027144	-2.6741195
16780423	3.451176		16938133	3.38485075		17029788	-2.6741195
17090296	-1.753622625		17056815	3.612998825		17032476	-2.6741195
16667760	-2.53399625		17021504	4.177109625		17034791	-2.6741195
17013851	-2.943428125		16943789	3.440303125		17037271	-2.6741195
16688339	-2.026779625		16778274	4.615572875		17039977	-2.6741195
16904193	2.95506525		17069816	3.268890625		16657594	-3.72318625
17083197	1.68320425		16979225	-3.377183125		16819252	-3.9785715
16937741	1.576498875		17021217	3.082817875		16848739	-2.99868875
17083433	-2.897353125		17111895	3.261233125		16683105	-3.58855525
16970465	-1.692605375		16970118	3.161648125		16778559	-2.421157625
16947148	-1.2581045		17048563	-4.527836		17042487	-2.244889375
16977378	-2.9344725		17056830	2.7851465		16908037	-2.63976175
16743593	-2.586389875		16875909	-2.993020875		16824109	-4.016577375
16970853	1.484250875		17021489	3.129046375		17011790	-3.2634665
17062491	1.45475		16833426	2.901855		16968122	2.76738225
17095043	1.296881625		17117651	-6.072993		17032870	-2.59390275
16882285	-2.032978		16809228	-5.433372375		16674521	-3.0412045
16944574	-1.50828375		16919962	3.618642625		16756286	-2.5898105
17009760	2.153742375		16970971	3.635341625		16912370	3.201897875
16760868	2.62187625		16877172	2.530095625		17027330	-2.485137375
16716350	-2.26144075		16874187	-4.83073625		17037658	-2.485137375
16852858	2.885499125		16676988	3.63269975		16952874	-2.949173
16976029	-3.170802		16762661	2.856829125		17006122	-2.577564125
16838418	-1.22922975		17023118	-3.418052625		17012011	2.18232525
16880814	-1.7380385		17092268	-2.39641275		16819264	-4.40444
16855382	-1.91855525		16939479	2.872934125		17030176	-2.563402875
16767422	-1.6607995		16909081	2.86261425		17035037	-2.563402875
16775156	0.861450625		16997853	-3.063522625		16754895	4.515215375
16769250	-1.9849375		16864756	3.633915375		16904700	4.34545625
17104521	2.006916375		16859795	-2.269880375		16946707	3.150178625
17012198	3.499535625		16967875	3.70579275		17040375	-2.44254525
16720760	2.785646125		16677698	-2.00862975		17059491	3.507289625
17049149	-0.94140225		16762759	3.2274165		16951756	-3.053108
16742814	1.05924525		17015647	-5.41598975		16801850	-2.088813375
16901974	-2.080126375		16833433	2.005543625		16914469	-1.75099175
17048676	0.911435375		17109808	2.356031125		16890519	-2.0137075
16698801	-2.9916245		16851866	2.72134025		17009615	3.11352825
16859105	1.328848125		16925859	-4.931363625		16856232	-4.612459
16686557	-1.445540625		17021510	4.3359005		17045838	-6.547057375
16764811	2.11868225		17103704	-3.810367125		16819856	-1.65644875
16844804	1.996622625		17000235	2.833376875		17053436	-4.32644625
17068296	-2.20700375		16666509	3.73247875		17022754	-2.24760125
16960355	-2.822039375		16978976	3.038618125		16784098	2.001821125
16729755	1.666691		16660587	2.130552375		16836311	-3.069082125
16884372	-1.8929095		16843567	1.940102		16881353	2.1101145
16696979	-1.45737125		16978354	2.10563375		16738465	-6.152163875
16873332	1.12959125		16971526	-2.761684625		16911517	2.157268375
16971737	-2.7932025		16833420	4.224632125		16730429	2.346731125
17074773	-1.877653625		17011279	2.825171625		16825154	1.754179125
17069728	-2.70850475		16983765	2.8328955		16738400	4.0261935
16763032	1.49130175		16984783	3.57255425		16972396	-2.660628875
17077004	-1.725912125		16691090	3.3056675		16819257	-5.571755375
16897834	-1.32217475		16892075	1.908914875		17077680	3.302958
16718126	2.457098375		16661149	2.75277425		16977502	-3.265280125
16817328	1.4072825		16850958	2.016069375		16800962	4.61132475
16987786	2.48703275		16909257	-3.262314375		16743574	2.866685375
16834436	-2.84522475		16712373	-2.215938625		17107585	3.269442125
16788296	-1.35223525		16760691	2.031166625		16942958	2.595647125
16705381	1.91315		16745016	2.1368995		16930066	-2.521246
16889779	-0.965477875		16874890	-3.4823835		17115014	1.726909625
16903356	-1.279509375		17059776	2.553416625		16947759	2.89851575
17113596	1.029703625		17118329	2.635447375		16819064	-3.206829625
16899601	1.34555475		17032495	1.852392375		16754373	-3.4079135
17050154	-1.8285785		16911493	-3.394625		16770664	2.735325875
16891403	1.43147225		17035371	2.3455145		17024285	-2.604691875
16825997	-1.257836875		16696177	-2.7470375		16771797	-4.291508625
17015240	-1.143501125		16761326	3.698944875		17002194	-2.800105375
17097308	1.336252375		16781995	3.886236625		16890347	4.07987625
17110352	-0.926386125		17024079	3.43278375		16900875	-2.21007575
16917859	-1.644579625		16848123	3.709665		16840945	1.472363
16688799	-3.640350875		17094761	2.473870875		16737282	1.7521365
16677071	2.0733155		16804062	2.89298925		16967863	4.54600975
17023551	-1.527579875		16968529	2.973930375		16828550	2.390676
16700888	-2.002021		16747678	2.23038675		16867432	-1.697168625
17011593	-0.972076625		17027163	1.802751625		17072110	2.837575125
16724633	-1.196546875		16917061	-1.835776		16883624	-3.983727625
16798232	-2.920357		16957675	2.094161375		17077525	1.901466875
17053401	-0.835026875		16996234	3.24911275		16864584	-3.199285625
16761012	-2.60986525		16846195	1.807627125		17022097	1.93895875
17055216	-1.560194625		16890675	3.055328625		16928428	-2.106036125
16940154	1.84543725		16972446	2.986601375		16904551	-2.74594925
16940055	-2.700114		17072144	2.762642625		16763650	2.83205925
16821330	-1.218162		16673075	1.9532245		17070769	3.967156625
17080897	-1.5179955		17095056	3.6412635		16979502	1.604980625
16709072	-1.006268375		16854466	-4.65848875		16918023	2.415650125
16733377	-1.141093375		16693459	2.38961175		16761830	-1.5377555
16730591	-1.878182125		16996545	-4.288113625		17011091	1.745594875
17071144	-1.677336875		16877097	-3.06539625		16967853	4.5827075
16665621	-2.152272875		17059696	-3.280409		17099076	-2.760449875
16749316	0.906594125		17075789	3.053868625		16843078	2.3506
16778652	1.150342625		17110289	3.31119325		17083370	-4.244786625
16949584	1.77464125		16911108	1.491401375		17105249	2.84293525
16674742	-1.67009225		16788475	-3.701442625		16764564	-1.730647125
16985094	-1.98023975		16922940	-5.124839125		16879796	2.12663525
