# Probe Set ID	Gene Symbol
16657440	MIR1302-11  
16657450	LOC100132062 
16657469	LINC00266-1 
16657502	LOC100287934 
16657534	SAMD11 
16657554	KLHL17 
16657572	PLEKHN1 
16657594	ISG15 
16657598	AGRN 
16657656	TTLL10 
16657680	B3GALT6 
16657713	PUSL1 
16657737	TAS1R3 
16657761	TMEM88B 
16657767	VWA1 
16657793	ATAD3B 
16657821	ATAD3A 
16657856	MIB2 
16657895	MMP23B 
16657910	MMP23A 
16657926	CALML6 
16657948	PRKCZ 
16657993	SKI 
16658005	RER1 
16658064	TNFRSF14 
16658106	FAM213B 
16658159	ARHGEF16 
16658184	TPRG1L 
16658231	DFFB 
16658350	RNF207 
16658379	LINC00337 
16658390	ESPN 
16658428	ZBTB48 
16658449	PHF13 
16658457	THAP3 
16658479	CAMTA1 
16658528	VAMP3 
16658536	PER3 
16658568	PARK7 
16658644	H6PD 
16658655	SPSB1 
16658664	SLC25A33 
16658736	NMNAT1 
16658752	RBP7 
16658758	UBE4B 
16658802	KIF1B 
16658864	PGD 
16658889	APITD1 
16658909	PEX14 
16658926	TARDBP 
16658973	UBIAD1 
16659036	FBXO6 
16659054	AGTRAP 
16659102	CLCN6 
16659138	RNU5E-1 
16659140	PLOD1 
16659171	MFN2 
16659200	MIIP 
16659238	TNFRSF1B 
16659251	VPS13D 
16659338	SNORA59A 
16659349	AADACL3 
16659395	PRAMEF22 
16659459	PDPN 
16659478	PRDM2 
16659605	EFHD2 
16659612	CTRC 
16659623	CELA2A 
16659650	DNAJC16 
16659686	DDI2  
16659704	PLEKHM2 
16659727	SLC25A34 
16659737	TMEM82 
16659765	SPEN 
16659865	C1orf144 
16659881	NECAP2 
16659921	MST1P2 
16659951	CROCC 
16660156	IGSF21 
16660199	MRTO4 
16660212	PQLC2 
16660236	MINOS1 
16660269	OTUD3 
16660282	PLA2G5 
16660313	UBXN10 
16660356	FAM43B 
16660360	CDA 
16660367	PINK1 
16660392	LOC100506801 
16660403	NBPF3 
16660458	LDLRAD2 
16660468	CELA3B 
16660503	CDC42 
16660527	ZBTB40 
16660552	ZBTB40-IT1 
17113346	CHRDL1 
16919547	SLPI 
17016089	PRL 
16660596	EPHB2 
16660624	KDM1A 
16660673	RPL11 
16660685	TCEB3 
16660700	PITHD1 
16660713	LYPLA2 
16660810	RCAN3 
16660822	C1orf130 
16660828	SRRM1 
16660863	CLIC4 
16660906	TMEM50A 
16660919	TMEM57 
16660933	LDLRAP1 
16660953	MAN1C1 
16660976	SEPN1 
16660992	FAM54B 
16661051	PDIK1L 
