# These are DE genes for all 3 cells types with a 
# p value of less than 0.05.  
> aCTB	M
16879094	2.318892875
17114520	-2.506901375
16804506	2.445474875
16906872	-1.6134925
17000641	-3.23124825
16865563	2.59621825
16780423	3.451176
17090296	-1.753622625
16667760	-2.53399625
17013851	-2.943428125
16688339	-2.026779625
16904193	2.95506525
17083197	1.68320425
16937741	1.576498875
17083433	-2.897353125
16970465	-1.692605375
16947148	-1.2581045
16977378	-2.9344725
16743593	-2.586389875
16970853	1.484250875
17062491	1.45475
17095043	1.296881625
16882285	-2.032978
16944574	-1.50828375
17009760	2.153742375
16760868	2.62187625
16716350	-2.26144075
16852858	2.885499125
16976029	-3.170802
16838418	-1.22922975
16880814	-1.7380385
16855382	-1.91855525
16767422	-1.6607995
16775156	0.861450625
16769250	-1.9849375
17104521	2.006916375
17012198	3.499535625
16720760	2.785646125
17049149	-0.94140225
16742814	1.05924525
16901974	-2.080126375
17048676	0.911435375
16698801	-2.9916245
16859105	1.328848125
16686557	-1.445540625
16764811	2.11868225
16844804	1.996622625
17068296	-2.20700375
16960355	-2.822039375
16729755	1.666691
16884372	-1.8929095
16696979	-1.45737125
16873332	1.12959125
16971737	-2.7932025
17074773	-1.877653625
17069728	-2.70850475
16763032	1.49130175
17077004	-1.725912125
16897834	-1.32217475
16718126	2.457098375
16817328	1.4072825
16987786	2.48703275
16834436	-2.84522475
16788296	-1.35223525
16705381	1.91315
16889779	-0.965477875
16903356	-1.279509375
17113596	1.029703625
16899601	1.34555475
17050154	-1.8285785
16891403	1.43147225
16825997	-1.257836875
17015240	-1.143501125
17097308	1.336252375
17110352	-0.926386125
16917859	-1.644579625
16688799	-3.640350875
16677071	2.0733155
17023551	-1.527579875
16700888	-2.002021
17011593	-0.972076625
16724633	-1.196546875
16798232	-2.920357
17053401	-0.835026875
16761012	-2.60986525
17055216	-1.560194625
16940154	1.84543725
16940055	-2.700114
16821330	-1.218162
17080897	-1.5179955
16709072	-1.006268375
16733377	-1.141093375
16730591	-1.878182125
17071144	-1.677336875
16665621	-2.152272875
16749316	0.906594125
16778652	1.150342625
16949584	1.77464125
16674742	-1.67009225
16985094	-1.98023975
16872194	-2.011573625
16932706	1.17231075
16936947	-1.32570375
16984492	-0.893886875
16847933	0.767585875
16909165	-1.724420625
16878994	-1.136112375
17096285	1.462379375
16871915	-2.1709845
16780069	-1.498054
16812738	-1.899676375
16975777	-1.254763125
16860221	1.4683765
16900635	1.628065
16723614	-1.912374625
16685958	0.986840875
16775136	-1.2093015
16745997	-1.614706625
16671642	1.480371875
16959701	1.10497875
17098027	-1.06162725
16686000	1.876735375
17076063	-0.909240625
16860123	2.1439335
16997953	-1.4627885
16870821	1.152817375
16906285	-2.079107
16870362	0.6830565
16938007	-1.219101875
16762154	-1.76754025
16761617	-0.975468375
16975506	-1.38110925
16702351	1.355066875
17059551	1.71529325
17104122	-1.84767875
16749747	-1.18614725
16783500	-1.416654625
16971712	-1.72376225
17051152	3.6149375
17002278	-2.0184235
16846532	1.550079375
17065372	-1.25565425
17074427	-1.25565425
16939796	-0.92518575
16705507	-2.52683825
16997721	-1.238357375
16798067	-1.78186825
17053384	-1.524369875
17050959	1.287842125
17022980	-2.29281475
16883905	1.127467375
16915712	2.134657875
16827123	1.644097875
16755652	1.985672
16979133	-2.494612
16674130	-1.538662875
17061716	2.07337875
17053379	-1.461347
17112364	-1.551574375
17108067	1.2083755
16725184	-2.569687625
17061881	-1.576494125
16886130	0.829005375
16889636	0.84277475
17013554	-1.2126195
17069677	0.939323875
17075112	-1.000109125
16705831	1.02464975
16906991	-1.180068625
16658736	-1.051155375
17115996	1.1651765
16979845	1.018845125
16810322	1.645173375
16773919	-2.195749625
16702967	1.033192125
16707493	-1.13612925
16702685	0.76129525
16754729	-1.697968375
17094120	1.665354
16777715	1.3194465
17076609	1.6475495
16880620	0.806180625
17055715	-1.487931625
16994002	1.51815325
16670469	-2.87024475
16771801	1.648883625
16937024	1.524650125
16779232	0.598922
16859314	-0.77859225
17061972	1.156990125
16811994	-1.088424875
16766822	-1.377999875
16919158	-1.098198
16911338	-1.371009875
16840599	0.86830125
16915868	1.4872655
17106003	1.33952625
17015207	0.7878025
16721835	1.35693
17070949	0.993128625
17042844	0.9692575
16887810	-0.838626125
16669796	-2.131136875
16821256	0.76904025
17014257	-1.06662325
16847760	-1.689348875
16823825	-1.063316875
16667258	0.86686825
17053371	-0.791143375
16918918	-0.757124375
16711464	-0.886256
16987844	1.233294875
16821377	-1.341294
17007824	1.1410015
16855026	-1.29605875
16985950	-1.653656625
> iCTB	M
16865955	-3.15205475
17115782	3.53352275
16865018	-5.29512275
16889268	3.635962625
16999041	-3.621422875
16874198	-6.65544775
16938133	3.38485075
17056815	3.612998825
17021504	4.177109625
16943789	3.440303125
16778274	4.615572875
17069816	3.268890625
16979225	-3.377183125
17021217	3.082817875
17111895	3.261233125
16970118	3.161648125
17048563	-4.527836
17056830	2.7851465
16875909	-2.993020875
17021489	3.129046375
16833426	2.901855
17117651	-6.072993
16809228	-5.433372375
16919962	3.618642625
16970971	3.635341625
16877172	2.530095625
16874187	-4.83073625
16676988	3.63269975
16762661	2.856829125
17023118	-3.418052625
17092268	-2.39641275
16939479	2.872934125
16909081	2.86261425
16997853	-3.063522625
16864756	3.633915375
16859795	-2.269880375
16967875	3.70579275
16677698	-2.00862975
16762759	3.2274165
17015647	-5.41598975
16833433	2.005543625
17109808	2.356031125
16851866	2.72134025
16925859	-4.931363625
17021510	4.3359005
17103704	-3.810367125
17000235	2.833376875
16666509	3.73247875
16978976	3.038618125
16660587	2.130552375
16843567	1.940102
16978354	2.10563375
16971526	-2.761684625
16833420	4.224632125
17011279	2.825171625
16983765	2.8328955
16984783	3.57255425
16691090	3.3056675
