> aCTB	M
VIT	2.318892875
ARHGEF6	-2.506901375
ACAN	2.445474875
ANKRD44	-1.6134925
ECSCR	-3.23124825
NLRP2	2.59621825
OXGR1	3.451176
ASS1	-1.753622625
S1PR1	-2.53399625
MYCT1	-2.943428125
WLS	-2.026779625
ITGB6	2.95506525
VLDLR	1.68320425
PPARG	1.576498875
IL33	-2.897353125
FAT4	-1.692605375
ARHGEF26	-1.2581045
TMEM150C	-2.9344725
TRPC6	-2.586389875
CCRN4L	1.484250875
GPR37	1.45475
RFK	1.296881625
VAMP5	-2.032978
EAF2	-1.50828375
FAM83B	2.153742375
SLC2A3	2.62187625
ACTA2	-2.26144075
SERPINB7	2.885499125
KDR	-3.170802
C1QTNF1	-1.22922975
MEIS1	-1.7380385
TCF4	-1.91855525
PTPRB	-1.6607995
DIAPH3-AS1	0.861450625
IGF1	-1.9849375
GDPD2	2.006916375
FABP7	3.499535625
TNNI2	2.785646125
CNPY4	-0.94140225
RAB30	1.05924525
IL1A	-2.080126375
DLX6	0.911435375
CD34	-2.9916245
SYDE1	1.328848125
PIK3R3	-1.445540625
KRT7	2.11868225
KRT14	1.996622625
IDO1	-2.20700375
TM4SF1	-2.822039375
CCDC81	1.666691
MERTK	-1.8929095
GLUL	-1.45737125
RTN2	1.12959125
GUCY1B3	-2.7932025
DEFB109P1	-1.877653625
PREX2	-2.70850475
PKP2	1.49130175
SNAI2	-1.725912125
EFEMP1	-1.32217475
COL17A1	2.457098375
APOBR	1.4072825
RAB9BP1	2.48703275
RAMP2	-2.84522475
EML1	-1.35223525
TET1	1.91315
ABI2	-0.965477875
ZEB2	-1.279509375
NKRF	1.029703625
TRABD2A	1.34555475
PRKAR2B	-1.8285785
INHA	1.43147225
PYCARD	-1.257836875
ECI2	-1.143501125
PTBP3	1.336252375
CXorf36	-0.926386125
CD93	-1.644579625
ELTD1	-3.640350875
SERTAD4	2.0733155
EPB41L2	-1.527579875
NID1	-2.002021
FIG4	-0.972076625
PTPRJ	-1.196546875
SNRPN	-2.920357
GIMAP5	-0.835026875
A2M	-2.60986525
ICA1	-1.560194625
CXCR6	1.84543725
CLEC3B	-2.700114
PLCG2	-1.218162
MTSS1	-1.5179955
ADD3	-1.006268375
FLI1	-1.141093375
DYNC2H1	-1.878182125
SDC2	-1.677336875
CACHD1	-2.152272875
RASSF8	0.906594125
TSC22D1	1.150342625
IL1RAP	1.77464125
NPL	-1.67009225
> iCTB	M
PEG3-AS1	-3.15205475
CLIC2	3.53352275
MIR1323	-5.29512275
AOX1	3.635962625
CDO1	-3.621422875
CGB8	-6.65544775
GALNTL2	3.38485075
TRGC2	3.612998825
CNR1	4.177109625
CD96	3.440303125
TRPC4	4.615572875
SULF1	3.268890625
PRSS12	-3.377183125
ME1	3.082817875
IL2RG	3.261233125
SYNPO2	3.161648125
PEG10	-4.527836
TRGV10	2.7851465
PEG3	-2.993020875
CNR1	3.129046375
CCL4L2	2.901855
LOC100506192	-6.072993
CYP19A1	-5.433372375
SULF2	3.618642625
IL15	3.635341625
GREB1	2.530095625
CGB	-4.83073625
HSD11B1	3.63269975
PTHLH	2.856829125
FAM184A	-3.418052625
GLDC	-2.39641275
ENTPD3	2.872934125
DOCK10	2.86261425
FLJ11292	-3.063522625
FPR3	3.633915375
