> iCTB	M
Spnodohgsesg	-3.324
PEG3-AS1	-3.15205475
CLIC2	3.53352275
MIR1323	-5.29512275
AOX1	3.635962625
CDO1	-3.621422875
CGB8	-6.65544775
GALNTL2	3.38485075
TRGC2	3.612998825
CNR1	4.177109625
CD96	3.440303125
TRPC4	4.615572875
SULF1	3.268890625
PRSS12	-3.377183125
ME1	3.082817875
IL2RG	3.261233125
SYNPO2	3.161648125
PEG10	-4.527836
TRGV10	2.7851465
PEG3	-2.993020875
CNR1	3.129046375
CCL4L2	2.901855
LOC100506192	-6.072993
CYP19A1	-5.433372375
SULF2	3.618642625
IL15	3.635341625
GREB1	2.530095625
CGB	-4.83073625
HSD11B1	3.63269975
PTHLH	2.856829125
FAM184A	-3.418052625
GLDC	-2.39641275
ENTPD3	2.872934125
DOCK10	2.86261425
FLJ11292	-3.063522625
FPR3	3.633915375
GDF15	-2.269880375
PARM1	3.70579275
MARC1	-2.00862975
TMTC1	3.2274165
ERVFRD-1	-5.41598975
CCL4L2	2.005543625
APOO	2.356031125
DTNA	2.72134025
PLAC4	-4.931363625
CNR1	4.3359005
PAGE4	-3.810367125
SPOCK1	2.833376875
IFI44	3.73247875
CFI	3.038618125
C1QB	2.130552375
CCL23	1.940102
EMCN	2.10563375
FHDC1	-2.761684625
CCL4	4.224632125
PRDM1	2.825171625
NPR3	2.8328955
GZMK	3.57255425
PTPN22	3.3056675
ARMC9	1.908914875
CD52	2.75277425
APCDD1	2.016069375
SLC19A3	-3.262314375
NEBL	-2.215938625
C1R	2.031166625
CD3D	2.1368995
SIGLEC6	-3.4823835
SAMD9L	2.553416625
LOC100506966	2.635447375
HLA-DMB	1.852392375
SPTLC3	-3.394625
HCP5	2.3455145
SLC19A2	-2.7470375
KLRC4-KLRK1	3.698944875
TRDJ1	3.886236625
MAP3K5	3.43278375
ABCA8	3.709665
KLF9	2.473870875
TM6SF1	2.89298925
PTPN13	2.973930375
C1S	2.23038675
HLA-DMB	1.802751625
FERMT1	-1.835776
LSAMP	2.094161375
PPAP2A	3.24911275
SKAP1	1.807627125
IGFBP2	3.055328625
NBLA00301	2.986601375
DEPTOR	2.762642625
DDR2	1.9532245
PRUNE2	3.6412635
DSC3	-4.65848875
S100A3	2.38961175
DEPDC1B	-4.288113625
ATP6V1C2	-3.06539625
ERVW-1	-3.280409
SCARA5	3.053868625
MAOB	3.31119325
SMOX	1.491401375
DLK1	-3.701442625
PLAC4	-5.124839125
HLA-DMB	1.73305925
HAND2	2.292217875
HLA-DMB	1.8244315
HLA-DMB	1.8244315
LOC100505676	-3.148931875
PDGFD	3.24237875
FBLN5	2.16534075
CYP2J2	-3.13538875
HLA-A	2.156212125
NNMT	2.161952375
PTPRC	3.264745375
FOXO4	-2.743793
GPRIN3	2.110083625
RXFP1	5.07642875
ABCA6	3.086442375
CPXM1	4.042054625
PRF1	3.01720675
C3	4.773019125
NAV3	2.73613225
PRPS2	2.27605
CSF3R	-2.97225825
LOC729739	-3.348188125
LRRK2	2.894595875
NDP	3.847688125
KRT23	-2.586156
SCPEP1	2.6102755
QPCT	1.739981875
PRSS23	1.65602525
HLA-DPA1	2.96956075
HLA-DPA1	2.96956075
LOC100652973	2.208602625
NIPAL2	1.812893375
CD48	1.80394575
HLA-DPA1	3.1955175
HLA-DPA1	3.1955175
HLA-DPA1	3.1955175
FIGN	-1.635423
LOC100653305	2.772062625
KIAA1919	-1.4168595
SOD2	1.623968125
PGR	3.57172375
PILRA	3.0681735
MYL9	2.842904875
HLA-DPA1	2.88898
LRP2	-4.4489075
AXL	2.41265625
PLXNC1	1.267026125
DPYD	2.576678
F5	-5.294060125
KALRN	1.375791625
SLC22A11	-1.905215375
TMEM40	-1.771246625
SYT11	2.725131625
GPC3	-3.291239125
MFGE8	2.207165125
CCSAP	-1.68894275
LINC00470	-2.54131025
RASA1	-1.5155905
NCOA7	1.703618125
TRDJ3	2.83098
PARD6B	-1.68484725
EMP3	2.427252375
RORB	5.029233625
CD2	2.735478125
STAP1	3.489498625
HAMP	2.554895
ITGB4	-1.825234125
GBP5	2.245628625
TMEM45A	2.602628875
IGFBP4	3.04994875
TP63	-2.63167725
RHOBTB1	-3.0794155
SPINT1	-3.028711875
MS4A6A	2.437928875
TARP	3.702281988
CECR1	1.63192425
GAB1	-1.9109825
ZMYM6NB	1.39856225
MNDA	1.798060625
HTR2B	2.324646375
MBNL3	-1.842443125
FAM176C	2.48647425
MCTP1	2.26390125
HSD3B1	-4.319907
LCP2	2.13764025
STS	-3.076423
RGS22	2.593445125
HLA-DMB	1.632005875
FYN	1.99844075
PTPRCAP	2.771264375
HLA-DPA1	2.9785135
EXPH5	-3.11925175
LOC100130275	-1.7227835
SLC5A6	-1.691608625
CD74	2.833318375
RYBP	-2.504338125
MEF2A	1.501828
WT1	3.01518225
C8orf42	-1.60889925
CELF2	1.38471075
LGALS13	-4.778669375
ZNF292	-1.7916965
RFC3	-1.712486625
CYP7B1	3.936516875
MAP1LC3C	2.276908375
FDX1	-1.844014125
SYTL4	1.945519375
GZMH	3.067308125
LGALS1	1.585981125
DOCK2	1.612509125
CXCL10	4.274542
MPZL2	1.777388625
SQRDL	3.469717375
LOC100861402	2.360070375
TMEM132C	1.8989355
APOBEC3C	2.42442425
SIGLEC14	1.18735175
CD226	2.831918125
CXCL12	1.8212935
SLC38A9	-1.870696125
ABI3BP	3.4091095
RGS1	3.477059375
LOC100129935	-4.405105
CMYA5	-2.2859045
LOC728819	2.097628125
EMILIN2	2.544298375
ZEB1	2.4234785
SAMHD1	1.5709015
ZNF25	1.685087875
CXorf57	-2.921210375
MUM1L1	1.8248055
IFI44L	4.1192025
TTC30A	1.537984875
KCND2	2.617074
GRAMD2	-1.779824375
HSPB6	3.683809875
UCHL1	1.76632075
ODC1	1.96982025
CCL21	2.92852725
FAM105A	2.29578025
DTL	-2.374794125
ALDH1A1	3.96373125
CXCL16	2.36857525
LY75-CD302	1.290777375
